date,close,high,low,open,preclose,pctChg,volume,amount
1997-11-25,1125.53,1131.13,1114.14,1120.86,1124.94,0.052454999999999995,358424200,3562739456.0
1997-11-26,1143.82,1143.82,1124.48,1126.6,1125.53,1.625005,234727800,2070071936.0
1997-11-27,1122.52,1141.97,1120.52,1141.77,1143.82,-1.862175,251261900,2287806720.0
1997-11-28,1139.63,1139.64,1114.43,1117.57,1122.52,1.524248,265787000,2630263296.0
1997-12-01,1133.09,1139.29,1130.45,1137.59,1139.63,-0.573874,231287500,2348490752.0
1997-12-02,1130.17,1139.6,1128.5,1133.59,1133.09,-0.257696,187537400,1777467008.0
1997-12-03,1122.55,1130.32,1121.59,1129.78,1130.17,-0.674234,191799200,1790538496.0
1997-12-04,1135.87,1137.01,1119.2,1121.8,1122.55,1.186579,229065700,2269438208.0
1997-12-05,1136.2,1144.22,1134.93,1139.48,1135.87,0.029049000000000002,239665200,2269563136.0
1997-12-08,1139.36,1143.08,1136.58,1140.55,1136.2,0.278123,209640300,1934358784.0
1997-12-09,1148.17,1148.17,1137.32,1139.81,1139.36,0.773246,214626700,2082659584.0
1997-12-10,1157.84,1158.99,1149.33,1150.48,1148.17,0.842203,236871600,2269650944.0
1997-12-11,1159.17,1159.75,1145.55,1159.05,1157.84,0.114876,231763600,2515715840.0
1997-12-12,1153.84,1165.81,1153.43,1160.22,1159.17,-0.459819,257110000,2832869632.0
1997-12-15,1168.03,1168.06,1155.6,1155.72,1153.84,1.2298120000000001,316617600,3320915200.0
1997-12-16,1174.8,1174.81,1165.6,1170.46,1168.03,0.5796100000000001,333919300,3758268416.0
1997-12-17,1146.52,1169.74,1145.89,1169.64,1174.8,-2.407221,332345700,3647474944.0
